Id;CODIGO_BUQUE;CODIGO_UE;NOMBRE_BUQUE;MATRICULA;FOLIO;DISTINTIVO;LISTA;CENSOPORMODALIDAD;CALADERO;MODALIDAD;LABORATORIO_PTOBASE;CODIGO_PUERTO_BASE;PUERTO_BASE;VERNACULO;PROVINCIA;AUTONOMIA_PUERTO_BASE;ESTADO;PAIS_EXPORTACION;FECHA_ALTA_CENSO;FECHA_SITUACION;FECHA_ENTRADA_SERVICIO;IRREGULAR;ESLORA_TOTAL;ESLORA_PP;LOA;ARQUEO_TRB;ARQUEO_GT;SITUACION_GT;POTENCIA_CV;POTENCIA_KW;TIPO_CASCO;AÑO_CONST;Observ
1;265;ESP000000265;SIEMPRE FORTUNA;FE-1;1837;;3;ARTES MENORES EN CANTABRICO NW;1;MENORES;IEO;21220;BURELA;BURELA;LUGO;GALICIA;ALTA DEFINITIVA;;10/05/1989;10/05/1989;17/02/1977;NO;9,760000229;;VL0010;5,5;3,440000057;DEFINITIVO;60;44,15011215;MADERA;1977;
2;279;ESP000000279;NUEVO EBENEZER;GI-4;1838;EFKE;3;ARTES FIJAS EN ZONAS CIEM VB, VI,VII y VIIIabde.;5;FIJAS;IEO;21220;BURELA;BURELA;LUGO;GALICIA;ALTA DEFINITIVA;;10/05/1989;10/05/1989;17/10/1970;NO;28,14999962;26,01000023;VL2440;186,6999969;238;DEFINITIVO;660;485,6512146;ACERO;1970;
3;334;ESP000000334;GONRUBEN;FE-2;2910;;3;ARTES MENORES EN CANTABRICO NW;1;MENORES;IEO;21220;BURELA;BURELA;LUGO;GALICIA;ALTA DEFINITIVA;;10/05/1989;10/05/1989;10/05/1960;NO;8,550000191;;VL0010;4,820000172;3,049999952;DEFINITIVO;24;17,66004372;MADERA;1960;
4;549;ESP000000549;ANGELITO;CO-6;2025;;3;ARTES MENORES EN CANTABRICO NW;1;MENORES;IEO;22600;MUROS;MUROS;A CORUÑA;GALICIA;ALTA DEFINITIVA;;10/05/1989;10/05/1989;07/08/1958;NO;5,539999962;;VL0010;0,400000006;0,889999986;DEFINITIVO;22;16,18837357;MADERA;1958;
5;561;ESP000000561;LAVANDEIRA;CO-6;2126;;3;ARTES MENORES EN CANTABRICO NW;1;MENORES;IEO;22700;NOYA;NOIA;A CORUÑA;GALICIA;ALTA DEFINITIVA;;10/05/1989;10/05/1989;26/09/1970;NO;4,900000095;;VL0010;1,179999948;0,629999995;DEFINITIVO;6;4,415010929;MADERA;1970;
6;570;ESP000000570;MARCELO;CO-6;2181;;3;ARTES MENORES EN CANTABRICO NW;1;MENORES;IEO;22700;NOYA;NOIA;A CORUÑA;GALICIA;ALTA DEFINITIVA;;10/05/1989;10/05/1989;08/07/1980;NO;5,53000021;;VL0010;1,379999995;0,99000001;DEFINITIVO;30;22,07505608;POLIESTER;1980;
7;582;ESP000000582;PESCADOR SEGUNDO;CO-5;1801;;3;ARTES MENORES EN CANTABRICO NW;1;MENORES;IEO;22600;MUROS;MUROS;A CORUÑA;GALICIA;ALTA DEFINITIVA;;10/05/1989;10/05/1989;16/11/1973;NO;6;;VL0010;2,25;1,25;DEFINITIVO;7;5,150846004;MADERA;1973;
8;590;ESP000000590;SOTIÑO;CO-6;2188;;3;ARTES MENORES EN CANTABRICO NW;1;MENORES;IEO;22600;MUROS;MUROS;A CORUÑA;GALICIA;ALTA DEFINITIVA;;10/05/1989;10/05/1989;13/08/1981;NO;5,300000191;;VL0010;1,470000029;0,800000012;DEFINITIVO;9;6,622516632;MADERA;1981;
9;631;ESP000000631;MIÑO;VI-1;1870;;3;ARTES MENORES EN CANTABRICO NW;1;MENORES;IEO;24100;PORTONOVO;PORTONOVO;PONTEVEDRA;GALICIA;ALTA DEFINITIVA;;10/05/1989;10/05/1989;21/04/1981;NO;10,89999962;;VL1012;8,75;6,489999771;DEFINITIVO;75;55,18763733;MADERA;1979;
10;634;ESP000000634;PLAYA DE SABON;VI-7;3521;EA4853;3;ARTES MENORES  EN EL GOLFO DE CADIZ;2;MENORES;IEO;31100;AYAMONTE;AYAMONTE;HUELVA;ANDALUCIA;ALTA DEFINITIVA;;10/05/1989;10/05/1989;20/06/1973;NO;18,39999962;14,85000038;VL1824;27,63999939;30,65999985;DEFINITIVO;200;147,167038;MADERA;1972;
11;911;ESP000000911;TOMASIN;HU-3;1333;;3;CERCO EN EL GOLFO DE CADIZ;2;CERCO;IEO;32100;SANLUCAR DE BARRAMEDA;SANLUCAR DE BARRAMEDA;CADIZ;ANDALUCIA;ALTA DEFINITIVA;;10/05/1989;10/05/1989;26/09/1975;NO;10,80000019;9;VL1012;11,47999954;10,56999969;DEFINITIVO;118;86,82855225;MADERA;1974;
12;1087;ESP000001087;BALSA;FE-1;1880;;3;ARTES MENORES EN CANTABRICO NW;1;MENORES;IEO;21100;RIBADEO;RIBADEO;LUGO;GALICIA;ALTA DEFINITIVA;;10/05/1989;10/05/1989;10/08/1967;NO;5,400000095;;VL0010;1,929999948;0,970000029;DEFINITIVO;9;6,622516632;MADERA;1967;
13;1503;ESP000001503;SAN ANTONIO;CA-4;512;;3;CERCO EN EL GOLFO DE CADIZ;2;CERCO;IEO;33500;BARBATE;BARBATE;CADIZ;ANDALUCIA;ALTA DEFINITIVA;;10/05/1989;10/05/1989;06/02/1961;NO;13,69999981;12,60000038;VL1218;18,40999985;21,90999985;DEFINITIVO;66;48,5651207;MADERA;1960;
14;1513;ESP000001513;JUAN MANUEL;CU-1;1696;EB5702;3;ARTES MENORES EN EL MEDITERRANEO;NO_ICES;NO_ICES;IEO;34200;ALGECIRAS;ALGECIRAS;CADIZ;ANDALUCIA;ALTA DEFINITIVA;;10/05/1989;10/05/1989;07/11/1983;SI;10,28999996;;VL1012;8,859999657;8,640000343;DEFINITIVO;92;67,69683838;MADERA;1983;
15;1522;ESP000001522;EL MELENA;CU-1;1525;;3;ARTES MENORES EN EL MEDITERRANEO;NO_ICES;NO_ICES;IEO;34100;TARIFA;TARIFA;CADIZ;ANDALUCIA;ALTA DEFINITIVA;;10/05/1989;10/05/1989;25/11/1961;NO;7,199999809;;VL0010;6,829999924;3,5;DEFINITIVO;38;27,96173668;MADERA;1961;
16;1780;ESP000001780;VENTOLERA;VILL-3;8632;;3;ARTES MENORES EN CANTABRICO NW;1;MENORES;IEO;23310;CARRIL;CARRIL;PONTEVEDRA;GALICIA;ALTA DEFINITIVA;;10/05/1989;14/04/2000;19/06/1972;NO;4,71999979;;VL0010;0,959999979;0,74000001;DEFINITIVO;15;11,03752804;POLIESTER;1972;
