AÑO_ACTIVO;CODIGO_BUQUE;CODIGO_UE;CODIGO_CFR;NOMBRE_BUQUE;MATRICULA;FOLIO;DISTINTIVO;LISTA;CENSOPORMODALIDAD;CALADERO;MODALIDAD;LABORATORIO_PTOBASE;CODIGO_PUERTO_BASE;PUERTO_BASE;VERNACULO;PROVINCIA;AUTONOMIA_PUERTO_BASE;ESTADO;PAIS_EXPORTACION;FECHA_ALTA_CENSO;FECHA_SITUACION;FECHA_ENTRADA_SERVICIO;IRREGULAR;ESLORA_TOTAL;ESLORA_PP;LOA;ARQUEO_TRB;ARQUEO_GT;SITUACION_GT;POTENCIA_CV;POTENCIA_KW;TIPO_CASCO;AÑO_CONST
2018;125;ESP000000125;ESP000000125;IZAR ALDE;BI-2;2739   ;EHND;3;ATUNEROS CAÑEROS CANARIAS;NO_ICES;;IEO;82300;ARRECIFE DE LANZAROTE;ARRECIFE;LAS PALMAS;CANARIAS;ALTA DEFINITIVA;;10/5/1989 0:00:00;10/5/1989 0:00:00;31/10/1978 0:00:00;NO;34,20;29,30;VL2440;142,25;175,00;DEFINITIVO;800,00;588,66;MADERA;1978
2018;141;ESP000000141;ESP000000141;LAYUNO ZALLO;BI-2;2797   ;EA4876;3;ATUNEROS CAÑEROS CANARIAS;NO_ICES;;IEO;82302;PUERTO DEL CARMEN             ;PUERTO DEL CARMEN;LAS PALMAS;CANARIAS;ALTA DEFINITIVA;;10/5/1989 0:00:00;10/5/1989 0:00:00;1/7/1983 0:00:00;NO;18,64;15,40;VL1824;37,31;37,32;DEFINITIVO;170,00;125,09;MADERA;1982
2018;265;ESP000000265;ESP000000265;SIEMPRE FORTUNA;FE-1;1837   ;;3;ARTES MENORES EN CANTABRICO NW;1;MENORES;IEO;21220;BURELA;BURELA;LUGO;GALICIA;ALTA DEFINITIVA;;10/5/1989 0:00:00;10/5/1989 0:00:00;17/2/1977 0:00:00;NO;9,76;;VL0010;5,50;3,44;DEFINITIVO;60,00;44,15;MADERA;1977
2018;279;ESP000000279;ESP000000279;NUEVO EBENEZER;GI-4;1838   ;EFKE;3;ARTES FIJAS EN ZONAS CIEM VB, VI,VII y VIIIabde.;5;FIJAS;IEO;21220;BURELA;BURELA;LUGO;GALICIA;ALTA DEFINITIVA;;10/5/1989 0:00:00;10/5/1989 0:00:00;17/10/1970 0:00:00;NO;28,15;26,01;VL2440;186,70;238,00;DEFINITIVO;660,00;485,65;ACERO;1970
2018;334;ESP000000334;ESP000000334;GONRUBEN;FE-2;2910   ;;3;ARTES MENORES EN CANTABRICO NW;1;MENORES;IEO;21220;BURELA;BURELA;LUGO;GALICIA;ALTA DEFINITIVA;;10/5/1989 0:00:00;10/5/1989 0:00:00;10/5/1960 0:00:00;NO;8,55;;VL0010;4,82;3,05;DEFINITIVO;24,00;17,66;MADERA;1960
2018;348;ESP000000348;ESP000000348;MADOBE;TA-3;2699   ;EA6395;3;ARRASTRE DE FONDO EN EL MEDITERRANEO;NO_ICES;;;63300;TARRAGONA;TARRAGONA;TARRAGONA;CATALUÑA;ALTA DEFINITIVA;;10/5/1989 0:00:00;10/5/1989 0:00:00;28/8/1981 0:00:00;NO;28,00;;VL2440;98,76;112,00;DEFINITIVO;766,00;563,64;ACERO;1978
2018;368;ESP000000368;ESP000000368;F.PONS;TA-3;2674   ;EA2828;3;ARRASTRE DE FONDO EN EL MEDITERRANEO;NO_ICES;;;63300;TARRAGONA;TARRAGONA;TARRAGONA;CATALUÑA;ALTA DEFINITIVA;;10/5/1989 0:00:00;10/5/1989 0:00:00;22/11/1976 0:00:00;NO;26,00;;VL2440;93,83;82,79;DEFINITIVO;606,00;445,91;ACERO;1976
2018;371;ESP000000371;ESP000000371;MARIA FERRE DOS;TA-3;2675   ;EA5924;3;ARRASTRE DE FONDO EN EL MEDITERRANEO;NO_ICES;;;63300;TARRAGONA;TARRAGONA;TARRAGONA;CATALUÑA;ALTA DEFINITIVA;;10/5/1989 0:00:00;10/5/1989 0:00:00;18/1/1984 0:00:00;NO;28,00;;VL2440;98,76;96,97;DEFINITIVO;700,00;515,08;ACERO;1978
2018;377;ESP000000377;ESP000000377;PACHINANDO;TA-3;2407   ;EA3283;3;CERCO EN EL MEDITERRANEO;NO_ICES;;;64100;VILANOVA I LA GELTRU;VILANOVA I LA GELTRU;BARCELONA;CATALUÑA;ALTA DEFINITIVA;;10/5/1989 0:00:00;10/5/1989 0:00:00;3/5/1969 0:00:00;NO;17,78;14,25;VL1218;28,53;22,89;DEFINITIVO;400,00;294,33;ACERO;1969
2018;379;ESP000000379;ESP000000379;CHIMO;TA-3;2655   ;EA6298;3;CERCO EN EL MEDITERRANEO;NO_ICES;;;63300;TARRAGONA;TARRAGONA;TARRAGONA;CATALUÑA;ALTA DEFINITIVA;;10/5/1989 0:00:00;10/5/1989 0:00:00;31/3/1977 0:00:00;NO;15,70;;VL1218;37,09;30,88;DEFINITIVO;286,00;210,44;ACERO;1975
2018;384;ESP000000384;ESP000000384;DOLORES DALMAU;TA-3;2558   ;EA5898;3;CERCO EN EL MEDITERRANEO;NO_ICES;;;63320;CAMBRILS;CAMBRILS;TARRAGONA;CATALUÑA;ALTA DEFINITIVA;;10/5/1989 0:00:00;10/5/1989 0:00:00;12/11/1975 0:00:00;NO;16,40;;VL1218;32,29;30,01;DEFINITIVO;275,00;202,35;MADERA;1972
2018;414;ESP000000414;ESP000000414;HERMANOS BRULL VILA;TA-3;2485   ;EA8456;3;CERCO EN EL MEDITERRANEO;NO_ICES;;;63210;AMETLLA DE MAR;L'AMETLLA DE MAR;TARRAGONA;CATALUÑA;ALTA DEFINITIVA;;10/5/1989 0:00:00;10/5/1989 0:00:00;6/4/1972 0:00:00;NO;20,00;;VL1824;47,94;34,93;DEFINITIVO;400,00;294,33;ACERO;1971
2018;421;ESP000000421;ESP000000421;AVANZA;TA-3;2091   ;EA3698;3;ARRASTRE DE FONDO EN EL MEDITERRANEO;NO_ICES;;;64500;PALAMOS                       ;PALAMÓS;GIRONA;CATALUÑA;ALTA DEFINITIVA;;10/5/1989 0:00:00;10/5/1989 0:00:00;10/11/1950 0:00:00;NO;15,10;13,50;VL1218;22,02;18,77;DEFINITIVO;65,00;47,82;MADERA;1948
2018;424;ESP000000424;ESP000000424;BELL HORITZO;BA-2;3846   ;EA2542;3;ARRASTRE DE FONDO EN EL MEDITERRANEO;NO_ICES;;;63210;AMETLLA DE MAR;L'AMETLLA DE MAR;TARRAGONA;CATALUÑA;ALTA DEFINITIVA;;10/5/1989 0:00:00;10/5/1989 0:00:00;22/9/1980 0:00:00;NO;23,42;20,16;VL1824;72,19;67,38;DEFINITIVO;566,00;416,48;MADERA;1977
2018;428;ESP000000428;ESP000000428;CIROAG;BA-2;3850   ;EA2529;3;ARRASTRE DE FONDO EN EL MEDITERRANEO;NO_ICES;;;63210;AMETLLA DE MAR;L'AMETLLA DE MAR;TARRAGONA;CATALUÑA;ALTA DEFINITIVA;;10/5/1989 0:00:00;10/5/1989 0:00:00;19/9/1980 0:00:00;NO;21,30;18,71;VL1824;46,22;53,90;DEFINITIVO;430,00;316,40;MADERA;1977
2018;452;ESP000000452;ESP000000452;ENRIQUETA;TA-2;1096   ;;3;ARTES MENORES EN EL MEDITERRANEO;NO_ICES;;;63210;AMETLLA DE MAR;L'AMETLLA DE MAR;TARRAGONA;CATALUÑA;ALTA DEFINITIVA;;10/5/1989 0:00:00;10/5/1989 0:00:00;26/8/1968 0:00:00;NO;9,15;7,20;VL0010;3,68;3,65;DEFINITIVO;48,00;35,32;MADERA;1968
