"CODIGO_BUQUE";"CODIGO_UE";"CODIGO_CFR";"NOMBRE_BUQUE";"MATRICULA";"FOLIO";"DISTINTIVO";"LISTA";"CENSOPORMODALIDAD";"CALADERO";"MODALIDAD";"ESTADO";"PAIS_EXPORTACION";"FECHA_ALTA_CENSO";"FECHA_SITUACION";"FECHA_ENTRADA_SERVICIO";"IRREGULAR";"ESLORA_TOTAL";"ESLORA_PP";"LOA";"ARQUEO_TRB";"ARQUEO_GT";"SITUACION_GT";"POTENCIA_CV";"POTENCIA_KW";"TIPO_CASCO";"AÑO_CONST"
17;"ESP000000017";"ESP000000017";"VIRGEN DEL ROCIO I";"ST-4";"2557";"EA5584";"3";"CERCO EN CANTABRICO NW";"1";"CERCO";"CAMBIA A OTRA LISTA";;10/5/1989 0:00:00;28/6/1991 0:00:00;27/7/1959 0:00:00;"NO";21.70;19.20;"VL1824";73.05;0.00;"DEFINITIVO";280.00;206.03;"Madera";
83;"ESP000000083";"ESP000000083";"PLAYA DE ONDARZABAL";"BI-1";"2978   ";"EFLP";"3";"CERCO EN CANTABRICO NW";"1";"CERCO";"CAMBIA A OTRA LISTA";;10/5/1989 0:00:00;22/4/2002 0:00:00;23/2/1968 0:00:00;"NO";26.10;23.30;"VL2440";120.49;116.00;"DEFINITIVO";425.00;312.72;"MADERA";
109;"ESP000000109";"ESP000000109";"GURE CITA";"BI-2";"2573   ";"EFXX";"3";"CERCO EN CANTABRICO NW";"1";"CERCO";"CAMBIA A OTRA LISTA";;10/5/1989 0:00:00;18/9/2000 0:00:00;30/7/1971 0:00:00;"NO";;26.35;"VL2440";148.01;140.00;"DEFINITIVO";675.00;496.68;"MADERA";
114;"ESP000000114";"ESP000000114";"ORTUBE";"BI-2";"2745   ";"EGJI";"3";"CERCO EN CANTABRICO NW";"1";"CERCO";"CAMBIA A OTRA LISTA";;10/5/1989 0:00:00;30/5/2002 0:00:00;22/3/1979 0:00:00;"NO";37.90;29.55;"VL2440";143.29;182.00;"DEFINITIVO";700.00;515.08;"MADERA";
132;"ESP000000132";"ESP000000132";"PASEO BASTARRE";"BI-2";"2399   ";"EEAJ";"3";"CERCO EN CANTABRICO NW";"1";"CERCO";"CAMBIA A OTRA LISTA";;10/5/1989 0:00:00;22/5/2000 0:00:00;20/11/1963 0:00:00;"NO";;24.40;"VL2440";131.59;116.00;"DEFINITIVO";700.00;515.08;"MADERA";
150;"ESP000000150";"ESP000000150";"HORIZONTE";"BI-2";"2261";;"3";"PALANGRE DE FONDO EN CANTABRICO NW";"1";"PALANGRE";"CAMBIA A OTRA LISTA";;10/5/1989 0:00:00;31/12/1991 0:00:00;3/3/1959 0:00:00;"NO";12.00;11.00;"VL1218";8.61;0.00;"DEFINITIVO";68.00;50.03;"Madera";
192;"ESP000000192";"ESP000000192";"FRANCISCO JORGE";"BI-2";"2758   ";"EA6623";"3";"ARTES MENORES EN CANTABRICO NW";"1";"MENORES";"CAMBIA A OTRA LISTA";;10/5/1989 0:00:00;21/5/2007 0:00:00;5/7/1980 0:00:00;"NO";17.89;15.10;"VL1218";25.18;26.00;"DEFINITIVO";240.00;176.60;"MADERA";1980
202;"ESP000000202";"ESP000000202";"NUEVO FLORIAN";"BI-2";"2484";;"3";"PALANGRE DE FONDO EN CANTABRICO NW";"1";"PALANGRE";"CAMBIA A OTRA LISTA";;10/5/1989 0:00:00;5/12/1991 0:00:00;27/4/1968 0:00:00;"NO";15.00;14.00;"VL1218";16.98;0.00;"DEFINITIVO";108.00;79.47;"Madera";
252;"ESP000000252";"ESP000000252";"GERVIC";"FE-2";"2872   ";;"3";"PALANGRE DE FONDO EN CANTABRICO NW";"1";"PALANGRE";"CAMBIA A OTRA LISTA";;10/5/1989 0:00:00;12/5/1992 0:00:00;30/5/1963 0:00:00;"NO";5.40;;"VL0010";1.38;;;5.00;3.67;"MADERA";
264;"ESP000000264";"ESP000000264";"MARIA AURORA";"FE-2";"2892   ";;"3";"ARTES MENORES EN CANTABRICO NW";"1";"MENORES";"CAMBIA A OTRA LISTA";;10/5/1989 0:00:00;15/12/2003 0:00:00;1/1/1936 0:00:00;"NO";5.34;;"VL0010";1.53;0.78;"DEFINITIVO";32.00;23.54;"MADERA";1936
