MARCO;;;;;;15/03/2021
;;LISTADO DE CATEGORÍAS 

;;PROYECTO :AREA ICES


COD CAT;CATEGORIA;COD PUERTO;PUERTO;COD ESP;ESPECIE;ALFA3;PROCESO
0901;Abadejo;0907;A Coruña;10270;Pollachius pollachius;POL;ENTERO
0901;Abadejo;0918;A Coruña (Camiones);10270;Pollachius pollachius;POL;ENTERO
0901;Abadejo;0976;A Garda;10270;Pollachius pollachius;POL;ENTERO
0101;Abadejo;0106;Algeciras;10377;Mycteroperca rubra;MKU;ENTERO
1301;Abadejo;1324;Arminza;10270;Pollachius pollachius;POL;ENTERO
1401;Abadejo;1418;Avilés;10270;Pollachius pollachius;POL;ENTERO
0101;Abadejo;0109;Ayamonte;10377;Mycteroperca rubra;MKU;ENTERO
0901;Abadejo;0974;Baiona;10270;Pollachius pollachius;POL;ENTERO
0101;Abadejo;0103;Barbate;10377;Mycteroperca rubra;MKU;ENTERO
0901;Abadejo;0927;Barqueiro-Bares;10270;Pollachius pollachius;POL;ENTERO
1301;Abadejo;1322;Bermeo;10270;Pollachius pollachius;POL;ENTERO
1301;Abadejo;1325;Bilbao;10270;Pollachius pollachius;POL;ENTERO
0901;Abadejo;0965;Bueu;10270;Pollachius pollachius;POL;ENTERO
0901;Abadejo;0925;Burela;10270;Pollachius pollachius;POL;ENTERO
1401;Abadejo;1422;Bustio;10270;Pollachius pollachius;POL;ENTERO
0101;Abadejo;0101;Cádiz;10377;Mycteroperca rubra;MKU;ENTERO
0901;Abadejo;0911;Camariñas;10270;Pollachius pollachius;POL;ENTERO
0901;Abadejo;0919;Cambados;10270;Pollachius pollachius;POL;ENTERO
0901;Abadejo;0942;Camelle;10270;Pollachius pollachius;POL;ENTERO
1401;Abadejo;1406;Candás;10270;Pollachius pollachius;POL;ENTERO
0901;Abadejo;0966;Cangas;10270;Pollachius pollachius;POL;ENTERO
0901;Abadejo;0903;Cariño;10270;Pollachius pollachius;POL;ENTERO
0901;Abadejo;0916;Carreira-Aguiño;10270;Pollachius pollachius;POL;ENTERO
0401;Abadejo;0406;Castro Urdiales;10270;Pollachius pollachius;POL;ENTERO
0901;Abadejo;0908;Cayón;10270;Pollachius pollachius;POL;ENTERO
0901;Abadejo;0904;Cedeira;10270;Pollachius pollachius;POL;ENTERO
0901;Abadejo;0926;Cillero;10270;Pollachius pollachius;POL;ENTERO
