ESTRATO_RIM,COD_ORIGEN
BACA_AC,038
BACA_APN,012
BACA_CN,008
BACA_CN,009
BACA_CN,010
BETA_CN,010
BETA_CN,008
BETA_CN,009
CERCO_CN,008
CERCO_CN,010
CERCO_CN,009
CERCO_CN,038
CERCO_GC,011
ENMALLE_AC,002
ENMALLE_AC,038
ENMALLE_GC,011
JURELERA_CN,010
JURELERA_CN,008
JURELERA_CN,009
LIN_CABALLA,008
LIN_CABALLA,009
LIN_CALAMAR,008
LIN_CALAMAR,009
LIN_MERLUZA,008
MERLUCER_AC,002
NASA_NECORA,008
NASA_NECORA,009
NASAPULP_CN,010
NASAPULP_CN,009
NASAPULP_CN,008
PALANGRE_AC,001
PALANGRE_AC,002
PALANGRE_AC,038
PALANGRE_CN,008
PALANGRE_CN,009
PALANGRE_CN,010
PAREJA_CN,010
PAREJA_CN,009
PAREJA_CN,008
RAPANTER_AC,002
RASCO_CN,008
RASCO_CN,009
SABLE_GC,011
TRASMALL_CN,008
TRASMALL_CN,009
TRASMALL_CN,010
TRASMALL_GC,011
VOLANTA_CN,010
VOLANTA_CN,008
VOLANTA_CN,009
VORACERA_GC,011
RAPANTER_AC,001
RAPANTER_AC,019
RAPANTER_AC,030
RAPANTER_AC,031
RAPANTER_AC,033
RAPANTER_AC,034
RAPANTER_AC,035
RAPANTER_AC,036
BACA_GC,011






