ESTRATO_RIM,ARTE,COD_ARTE,RIM,OAB
BACA_AC,BACA,102,T,F
BACA_APN,BACA,102,T,F
BACA_CN,BACA,102,T,T
BETA_CN,BETA,201,T,T
CERCO_CN,CERCO,601,T,F
CERCO_GC,CERCO,601,T,T
ENMALLE_AC,VOLANTA,202,T,F
JURELERA_CN,BACA,102,T,F
JURELERA_CN,GRAN ABERTURA VERTICAL,103,T,T
LIN_CABALLA,LINEAS FIJAS,311,T,F
LIN_CALAMAR,POTERA,305,T,F
MERLUCER_AC,BACA,102,T,F
NASA_NECORA,NASA,502,T,F
NASAPULP_CN,NASA,502,T,F
PALANGRE_AC,PALANGRE DE FONDO,302,T,F
PALANGRE_CN,PALANGRE DE FONDO,302,T,F
PAREJA_CN,PAREJA,104,T,T
RAPANTER_AC,BACA,102,T,T
RASCO_CN,RASCO,203,T,T
SABLE_GC,PALANGRE DE FONDO,302,T,F
TRASMALL_CN,TRASMALLO,204,T,F
TRASMALL_GC,TRASMALLO,204,T,F
VOLANTA_CN,VOLANTA,202,T,T
VORACERA_GC,LINEAS MOVILES,327,T,F
BACA_GC,BACA,102,T,T
