name_variable;regex_variable_import;class_variable_import;regex_variable_final;class_variable_final;RIM_CATCHES;RIM_CATCHES_MANDATORY;RIM_CATCHES_IN_LENGTHS;RIM_LENGTHS;RIM_LENGTHS_MANDATORY;OAB_TRIPS;OAB_TRIPS_MANDATORY;OAB_TRIPS_CECAF;OAB_TRIPS_CEFAF_MANDATORY;OAB_HAULS;OAB_HAULS_MANDATORY;OAB_HAULS_CECAF;OAB_HAULS_MANDATORY;OAB_CATCHES;OAB_CATCHES_MANDATORY;OAB_CATCHES_CECAF;OAB_CATCHES_MANDATORY;OAB_LENGTHS;OAB_LENGTHS_MANDATORY;OAB_LENGTHS_CECAF;OAB_LENGTHS_MANDATORY;OAB_LITTER;OAB_LITTER_MANDATORY;OAB_ACCIDENTALS;OAB_ACCIDENTALS_MANDATORY;COMMENTS
YEAR;^\d{4}$;integer;;integer;;;;;;1;T;1;T;1;T;1;T;1;T;1;T;1;T;1;T;;;;;"In OAB_HAULS, this variable come from field ""FECHA"" of the header of Lances screen in SIRENO"
TRIMESTRE;^(1|2|3|4)$;integer;;integer;;;;;;;;;;2;T;2;T;2;T;2;T;2;T;2;T;;;;;
COD_MAREA;^.+$;factor;;factor;;;;;;2;T;2;T;3;T;3;T;3;T;3;T;4;T;4;T;1;T;1;T;
COD_LANCE;^\d{1,4}$;integer;;integer;;;;;;;;;;4;T;4;T;4;T;4;T;5;T;5;T;2;T;2;T;
COD_PUERTO_BASE;^\d{3,4}$;factor;^\d{4}$;factor;;;;;;5;T;5;T;5;T;5;T;5;T;5;T;6;T;6;T;;;;;
PUERTO_BASE;^.+$;factor;;factor;;;;;;6;T;6;T;6;T;6;T;6;T;6;T;7;T;7;T;;;;;
COD_PUERTO_DESCARGA;^\d{3,4}$;factor;^\d{4}$;factor;;;;;;9;T;9;T;7;T;7;T;;;;;8;T;8;T;;;;;
PUERTO_DESCARGA;^.+$;factor;;factor;;;;;;10;T;10;T;8;T;8;T;;;;;9;T;9;T;;;;;
CUADRICULA_ICES;^('\d{2}[A-Z]\d)$|^'$;factor;;factor;;;;;;;;;;9;T;9;T;7;T;7;T;10;T;10;T;;;;;
ESTRATO_RIM;^.+$;factor;;factor;9;T;9;9;T;13;T;13;T;10;T;10;T;10;T;10;T;13;T;13;T;;;;;
DES_ESTRATO_RIM;^.+$;factor;;factor;;;;;;14;T;14;T;11;T;11;T;11;T;11;T;14;T;14;T;;;;;
METIER_IEO;^.+$;factor;;factor;10;;10;10;;15;F;;;12;T;;;12;F;;;15;F;;;;;;;In OAB, this field is only mandatory in Hauls table, because the data of the rest of the tables come from this.
COD_ARTE;^\d{3}$;factor;;factor;28;T;28;28;T;;;;;13;T;12;T;13;T;12;T;16;T;15;T;;;;;
ARTE;^.+$;factor;;factor;29;T;29;29;T;;;;;14;T;13;T;14;T;13;T;17;T;16;T;;;;;
TAMANO_MALLA;^\d+(\,\d+)$;character;;numeric;;;;;;;;;;15;F;14;F;15;F;14;F;18;F;17;F;;;;;
SOBRECOPO;^S|N$;factor;;factor;;;;;;;;;;16;F;15;F;;;;;;;;;;;;;
ABERTURA_VER;^\d+(\,\d+)$;character;;numeric;;;;;;;;;;17;T;16;T;;;;;;;;;;;;;
ABERTURA_HOR;^\d+(\,\d+)$;character;;numeric;;;;;;;;;;18;T;17;T;;;;;;;;;;;;;
CARAS;^\d+$;integer;;integer;;;;;;;;;;19;F;18;F;;;;;;;;;;;;;
COD_BARCO;^\d{1,6}$;factor;^\d{6}$;factor;18;T;18;18;T;18;T;17;T;20;T;19;T;16;T;15;T;19;T;18;T;;;;;
COD_SGPM;^.+$;factor;;factor;;;;;;;;;;21;F;;;;;;;;;;;;;;;
BARCO;^.+$;factor;;factor;20;T;20;20;T;19;T;18;T;22;T;20;T;17;T;16;T;20;T;19;T;;;;;
CV;^\d+(\,\d+)$;numeric;;numeric;;;;;;20;T;19;T;23;F;21;F;18;F;17;F;21;T;20;T;;;;;
TRB;^\d+(\,\d+)$;character;;numeric;;;;;;21;T;20;T;24;F;22;F;19;F;18;F;22;T;21;T;;;;;This variable is imported as a character because in trips file use comma as decimal and the rest of the OAB files use dot as decimal.
ESLORA;^\d+(\,\d+)$;character;;numeric;;;;;;22;T;21;T;25;F;23;F;20;F;19;F;23;T;22;T;;;;;This variable is imported as a character because in trips file use comma as decimal and the rest of the OAB files use dot as decimal.
VELOCIDAD;^\d+(\,\d+)$;numeric;;numeric;;;;;;;;;;26;F;24;F;;;;;;;;;;;;;
LUZ;^D|N$;factor;;factor;;;;;;;;;;27;T;25;T;;;;;;;;;;;;;
VALIDO;^S|N$;factor;;logical;;;;;;;;;;28;T;26;T;;;;;;;;;;;;;
MUESTREADO;^S|N$;factor;;logical;;;;;;;;;;29;T;27;T;;;;;;;;;;;;;
DESCARTE_MUESTREADO;^S|N$;factor;;logical;;;;;;;;;;30;T;28;T;;;;;;;;;;;;;
