ESPCOD;ESPDESTAX;PUECOD;PUEDES;ESPCAT;TIPPROCOD
10644;Acanthocybium solandri;9901;Desconocido Español;9901;ENTERO
10010;Alopias vulpinus;0118;Puerto de Santa María;0101;ENTERO
10010;Alopias vulpinus;0116;Sanlúcar de Barrameda;0101;ENTERO
10010;Alopias vulpinus;0112;Huelva;0101;ENTERO
10010;Alopias vulpinus;0110;Isla Cristina;0102;ENTERO
10010;Alopias vulpinus;0105;Tarifa;0101;ENTERO
10010;Alopias vulpinus;0104;Conil de la Frontera;0101;ENTERO
10010;Alopias vulpinus;0103;Barbate;0101;ENTERO
10010;Alopias vulpinus;0101;Cádiz;0101;ENTERO
10010;Alopias vulpinus;0109;Ayamonte;0101;ENTERO
10010;Alopias vulpinus;0114;Punta Umbría;0101;ENTERO
10010;Alopias vulpinus;0904;Cedeira;0901;ENTERO
10010;Alopias vulpinus;1418;Avilés;1401;ENTERO
10010;Alopias vulpinus;0913;Finisterre;0901;ENTERO
10010;Alopias vulpinus;0917;Santa Eugenia de Ribeira;0904;ENTERO
10010;Alopias vulpinus;0917;Santa Eugenia de Ribeira;0903;ENTERO
10010;Alopias vulpinus;0917;Santa Eugenia de Ribeira;0902;ENTERO
10010;Alopias vulpinus;0106;Algeciras;0101;ENTERO
10010;Alopias vulpinus;0917;Santa Eugenia de Ribeira;0901;ENTERO
10010;Alopias vulpinus;0925;Burela;0904;ENTERO
10010;Alopias vulpinus;0925;Burela;0903;ENTERO
10010;Alopias vulpinus;0925;Burela;0902;ENTERO
10010;Alopias vulpinus;0925;Burela;0901;ENTERO
10010;Alopias vulpinus;0912;Muxía;0904;ENTERO
10010;Alopias vulpinus;0912;Muxía;0903;ENTERO
10010;Alopias vulpinus;0912;Muxía;0902;ENTERO
10010;Alopias vulpinus;0912;Muxía;0901;ENTERO
10010;Alopias vulpinus;0406;Castro Urdiales;0401;ENTERO
10010;Alopias vulpinus;0110;Isla Cristina;0101;ENTERO
10020;Scyliorhinus spp;0907;A Coruña;0901;ENTERO
10020;Scyliorhinus spp;1411;Puerto de la Vega;1401;ENTERO
10020;Scyliorhinus spp;0405;San Vicente de la Barquera;0401;ENTERO
10020;Scyliorhinus spp;1405;Luanco;1401;ENTERO
10020;Scyliorhinus spp;1402;Tazones;1401;ENTERO
10020;Scyliorhinus spp;1418;Avilés;1401;ENTERO
10020;Scyliorhinus spp;0402;Santander;0411;ENTERO
10020;Scyliorhinus spp;0922;Vigo;0902;ENTERO
10020;Scyliorhinus spp;0922;Vigo;0901;ENTERO
10020;Scyliorhinus spp;1417;Gijón;1401;ENTERO
10020;Scyliorhinus spp;0402;Santander;0402;ENTERO
10020;Scyliorhinus spp;0402;Santander;0401;ENTERO
10020;Scyliorhinus spp;1423;Llanes;1401;ENTERO
10020;Scyliorhinus spp;1425;Lastres;1401;ENTERO
10020;Scyliorhinus spp;0112;Huelva;0101;ENTERO
10020;Scyliorhinus spp;0118;Puerto de Santa María;0101;ENTERO
10020;Scyliorhinus spp;0101;Cádiz;0101;ENTERO
10020;Scyliorhinus spp;0106;Algeciras;0101;ENTERO
10020;Scyliorhinus spp;1313;Pasajes;1301;ENTERO
