MARCO;;;;;07-NOV-17
;;LISTADO DE ESPECIES POR CÓDIGO IEO

PROYECTO :AREA ICES


COD.IEO;NOMBRE CIENTÍFICO;NOMBRE OFICIAL;AUTOR;ALFA3;TAXONÓMICO FAO;NODC;RUBIN
00000;VIDA;;;;;;
00001;Porifera;Esponjas;Grant, 1836;PFR;;;
00002;Cnidaria;;Hatschek, 1888;CNI;;;
00003;Ctenophora;;Eschscholtz, 1829;;;38;
00009;Nemertea;;Schultze;;;;
00016;Priapulida;;(Théel, 1906);;;;
00022;Sipuncula;;(Raffinesque, 1814);;;;
00023;Annelida;;Lamarck, 1801;NHE;;50;
00026;Bryozoa;;Ehrenberg, 1831;BZN;;;
00027;Brachiopoda;;Duméril, 1806;BVH;;;
00030;Echinodermata;;Klein, 1734;ECH;689XXXXXXX;81;
00032;Tunicata;;Lamarck, 1816;;;;
00050;Algae;;;SWX;;;
10000;Pisces;Peces;;MZZ;199XXXXXXX;;
10001;Petromyzontidae;Lampreas;Linnaeus, 1758;LAS;10201XXXXX;;
10003;Petromyzon marinus;Lamprea de mar;Linnaeus, 1758;LAU;1020100101;8603010301;
10005;Heptranchias perlo;Bocadulce;(Bonnaterre, 1788);HXT;1050200301;8705020301;HEPT PER
10006;Hexanchus griseus;Cañabota;(Bonnaterre, 1788);SBL;1050200201;8705020101;HEXA GRI
10007;Cetorhinus maximus;Tiburón peregrino;(Gunnerus, 1765);BSK;1060100301;8707040201;CETO MAX
10009;Carcharias taurus;Tiburón toro;Rafinesque, 1810;CCT;1060200501;;
10010;Alopias vulpinus;Zorro blanco;(Bonnaterre, 1788);ALV;1060600601;8707040401;ALOP VUL
10012;Lamnidae;Cailones;Müller et Henle, 1838;MSK;10608XXXXX;8707040000;LAMNIDAX
10013;Isurus oxyrinchus;Marrajo;Rafinesque, 1810;SMA;1060800201;8707040501;ISUR OXY
10014;Lamna nasus;Cailón;(Bonnaterre, 1788);POR;1060800301;8707040302;LAMN NAS
10018;Galeus spp;Bocanegras;Rafinesque, 1810;GAU;10801001XX;8708010200;GALEUS Z
10019;Galeus melastomus;Bocanegra;Rafinesque, 1810;SHO;1080100104;8708010203;GALE MEL
10020;Scyliorhinus spp;Pintarrojas;Blainville, 1816;SCL;10801003XX;8708010300;
10021;Scyliorhinus stellaris;Alitán;(Linnaeus, 1758);SYT;1080100302;8708010306;
10022;Scyliorhinus canicula;Pintarroja;(Linnaeus, 1758);SYC;1080100301;8708010307;SCYL CAN
