BARCOD;BARCODSECR;BARMAT;BARDES;BARFOL;BARFECALTA;BARFECBAJA;BARESTADO;PAICOD;PUECOD
009581;11746;GI-4;LLORCA PRIMERO;1863;17/05/1972;03/04/1992;3;724;1418
009582;11747;GI-6;MARIA CONCEPCION;675;09/12/1964;25/07/2000;3;724;1418
009583;11748;BI-2;NUEVO AURTENECHEA;2381;20/02/1967;25/10/2000;3;724;1418
009584;11749;ST-4;NEREA LEIRE;2578;20/12/1971;31/12/1991;5;724;402
009585;11750;GI-4;NUEVO JUANITO HERMANOS;1751;10/02/1968;18/09/2003;3;724;1418
009586;11751;BI-2;NUEVO SANTA ANA;2436;15/09/1964;10/07/1998;3;724;1418
009587;11752;GI-4;MARIA ELBA;2148;09/11/1968;21/05/1992;3;724;1418
009588;11753;GI-4;SIEMPRE EMPERATRIZ;1741;11/04/1967;16/01/1998;20;724;1418
009590;11755;GI-4;ULISES-LLORCA;1680;20/01/1966;28/11/2000;8;724;917
009591;11756;GI-6;VICENTE MURCIA;641;15/10/1971;31/12/1991;20;724;1418
009592;11757;BI-2;DANIEL ITURRIOZ;2212;26/12/1958;15/11/1995;20;724;1425
009561;11724;CO-2;JUAN MANUEL SOUTO;3451;15/10/1973;21/02/1995;5;724;1418
009562;11725;GI-8;GRACIA AZUL;1175;03/09/1969;27/04/1992;5;724;1418
009563;11726;GI-6;ROSELLO;664;29/01/1981;18/08/1992;5;724;1418
009564;11728;GI-6;ISIS;562;04/03/1960;26/04/2005;3;724;1418
009565;11729;GI-6;LA DIVINA;658;07/12/1978;08/05/1991;1;724;1418
009566;11730;GI-6;ZALAMERINA;608;01/01/1965;15/06/1992;5;724;1418
009567;11731;GI-4;SANTANINA;2057;19/02/1979;26/02/1997;20;724;1418
009568;11732;7GI-6;GOROSTOLA;1;21/05/1953;27/11/1991;1;724;1418
009569;11733;FE-1;LUZ DIVINA;1187;01/01/1927;11/04/1994;3;724;1418
009570;11734;GI-5;LA CASTELLANA;1775;07/11/1956;30/06/1990;12;724;1418
009571;11736;GI-6;LA CAPRICHOSA;659;23/04/1973;11/10/1994;5;724;1418
009572;11737;GI-4;GELI;2006;04/12/1976;10/04/1992;5;724;1418
009573;11738;GI-5;OLIGO;1921;24/05/1965;28/06/1991;22;724;1418
009574;11739;GI-6;LA CORVERINA;656;25/02/1977;24/11/1993;5;724;1418
009575;11740;BI-2;CAMPO EDER;2662;02/08/1973;04/08/1999;3;724;1418
009576;11741;GI-4;FLOR DEL CANTABRICO;2069;01/01/1971;28/06/2001;3;724;1801
009544;11704;VA-3;MARUJIN Y CHARO;2014;05/10/1966;22/10/2010;3;724;1709
009545;11706;VA-2;VIRGEN DE LA PLAZA;437;15/05/1962;30/06/1990;12;724;1708
009546;11707;BA-6;VIDAL;2367;25/11/1985;30/11/2006;3;724;731
009547;11708;BA-6;PASSARELL;2267;30/01/1975;09/09/2002;3;724;732
009548;11709;BA-6;PATOT;2345;10/02/1984;;26;724;731
009549;11710;CP-3;PEPITO;1873;07/08/1920;08/03/1999;20;724;731
009551;11712;BA-6;JOAQUINA;1756;20/05/1946;05/09/2007;1;724;733
009552;11713;BA-6;GRAN CONCHA;2202;25/08/1967;27/04/2006;20;724;735
009553;11714;AT-6;NUEVA MALVARROSA;952;02/08/1967;26/07/2004;20;724;731
009554;11715;BA-2;GLORIAMAR;3893;14/10/1982;20/07/2004;3;724;708
009555;11717;CP-2;SOL DE BERMEO;1118;15/11/1954;17/12/1996;20;724;1727
009556;11718;TE-1;SAN ANTONIO;3578;17/07/1968;;26;724;318
009557;11719;TE-1;KAYUCO;3805;17/09/1973;12/06/2007;3;724;351
009558;11720;TE-1;BANESA;4063;02/07/1983;13/03/2001;25;724;318
009559;11721;TE-1;NI—O MARCHENA;3875;18/02/1931;19/11/2008;3;724;315
009527;11678;MA-5;PURA;776;29/06/1949;07/04/2008;25;724;122
009528;11680;MA-4;SAN VICENTE;2604;01/06/1951;16/06/2008;25;724;128
009529;11681;MA-1;YOLANDA;869;21/01/1966;12/02/2010;10;724;128
009530;11682;AT-6;HERMANOS GARCIA NIETO;989;16/05/1975;10/02/1998;3;724;111
009532;11686;VILL-1;HERMANOS NU—EZ;4256;13/03/1972;;26;724;949
009533;11689;VILL-2;ANUSKA;4189;06/09/1971;17/11/1993;5;724;911
009534;11690;AL-3;HERMANOS NARVAEZ;397;10/07/1973;19/04/2004;3;724;105
009535;11692;CO-5;EL QUE QUIERA;1367;21/01/1955;;17;724;978
009536;11694;CO-5;PRAIA DE CORBEIRO;1952;21/09/1983;01/10/2001;5;724;913
009537;11696;BA-1;ESTER;1192;14/02/1974;13/02/1998;3;724;731
009538;11697;BA-2;ANA;3885;09/09/1982;;26;724;712
009539;11698;7BA-5;RICARDO;498-96;04/06/1976;27/02/1997;1;724;729
009540;11699;BA-5;VIRGEN DEL CARMEN;1151;16/10/1955;09/07/1997;20;724;729
009541;11700;BA-5;JAIME;597;17/07/1934;05/12/2011;25;724;729
009543;11702;BA-6;COREANO;1932;02/06/1951;08/05/2007;25;724;729
008649;10632;BI-2;MARIA SOLEDAD;2289;01/04/1960;02/01/2006;3;724;409
008651;10634;ST-3;JOSE LUIS ITO SEGUNDO;1783;13/11/1963;21/05/1992;20;724;409
008652;10636;SS-1;AINARA;2278;01/06/1974;24/03/2003;20;724;1312
008653;10637;SS-1;AINHOA;2240;01/06/1972;31/12/1991;20;724;1312
008654;10638;SS-1;ALBA EDER;2275;16/09/1974;21/02/1995;20;724;1312
008655;10639;SS-1;AMATXO;2227;12/02/1972;21/03/2001;20;724;1312
008656;10640;SS-1;ARRATEKO AMA;2229;28/07/1972;31/12/1991;20;724;1312
008657;10641;SS-1;BERNARDETTE;2029;14/11/1962;31/12/1991;20;724;1312
