METIER_DCF;CALADERO_DCF;ESTRATO_RIM;COD_ORIGEN;ORIGEN;COD_ARTE;ARTE
FPO_CRU_0_0_0;Iberian (VIIIc-IX);NASA_NECORA;008;Subdivisión 8c-Este;502;NASA
FPO_CRU_0_0_0;Iberian (VIIIc-IX);NASA_NECORA;009;Subdivisión 8c-Oeste;502;NASA
FPO_CRU_0_0_0;Iberian (VIIIc-IX);NASA_NECORA;010;Subdivisión IXa-Norte;502;NASA
FPO_MOL_0_0_0;Iberian (VIIIc-IX);NASAPULP_CN;008;Subdivisión 8c-Este;502;NASA
FPO_MOL_0_0_0;Iberian (VIIIc-IX);NASAPULP_CN;009;Subdivisión 8c-Oeste;502;NASA
FPO_MOL_0_0_0;Iberian (VIIIc-IX);NASAPULP_CN;010;Subdivisión IXa-Norte;502;NASA
GNS_DEF_>=220_0_0;Iberian (VIIIc-IX);RASCO_CN;008;Subdivisión 8c-Este;203;RASCO
GNS_DEF_>=220_0_0;Iberian (VIIIc-IX);RASCO_CN;009;Subdivisión 8c-Oeste;203;RASCO
GNS_DEF_>=220_0_0;Iberian (VIIIc-IX);RASCO_CN;010;Subdivisión IXa-Norte;203;RASCO
GNS_DEF_100-119_0_0;Bay of Biscay (VIIIabde);ENMALLE_AC;038;Divisiones 8abde;202;VOLANTA
GNS_DEF_120-219_0_0;Western Ireland (VIIbcjk);ENMALLE_AC;002;Subárea VII (ICES);202;VOLANTA
GNS_DEF_120-219_0_0;Western Ireland (VIIbcjk);ENMALLE_AC;030;División VIIb;202;VOLANTA
GNS_DEF_120-219_0_0;Western Ireland (VIIbcjk);ENMALLE_AC;031;División VIIc;202;VOLANTA
GNS_DEF_120-219_0_0;Western Ireland (VIIbcjk);ENMALLE_AC;035;División VIIk;202;VOLANTA
GNS_DEF_120-219_0_0;Western Ireland (VIIbcjk);ENMALLE_AC;036;División VIIj;202;VOLANTA
GNS_DEF_50-59_0_0;Iberian (VIIIc-IX);ENMALLE_GC;011;Subdivisión IXa-Sur;200;ENMALLES
GNS_DEF_60-79_0_0;Iberian (VIIIc-IX);BETA_CN;008;Subdivisión 8c-Este;201;BETA
GNS_DEF_60-79_0_0;Iberian (VIIIc-IX);BETA_CN;008;Subdivisión 8c-Este;211;VOLANTON
GNS_DEF_60-79_0_0;Iberian (VIIIc-IX);BETA_CN;009;Subdivisión 8c-Oeste;201;BETA
GNS_DEF_60-79_0_0;Iberian (VIIIc-IX);BETA_CN;009;Subdivisión 8c-Oeste;211;VOLANTON
GNS_DEF_60-79_0_0;Iberian (VIIIc-IX);BETA_CN;010;Subdivisión IXa-Norte;201;BETA
GNS_DEF_60-79_0_0;Iberian (VIIIc-IX);BETA_CN;010;Subdivisión IXa-Norte;211;VOLANTON
GNS_DEF_80-99_0_0;Iberian (VIIIc-IX);VOLANTA_CN;008;Subdivisión 8c-Este;202;VOLANTA
GNS_DEF_80-99_0_0;Iberian (VIIIc-IX);VOLANTA_CN;009;Subdivisión 8c-Oeste;202;VOLANTA
GNS_DEF_80-99_0_0;Iberian (VIIIc-IX);VOLANTA_CN;010;Subdivisión IXa-Norte;202;VOLANTA
GTR_DEF_50-59_0_0;Iberian (VIIIc-IX);TRASMALL_GC;011;Subdivisión IXa-Sur;204;TRASMALLO
GTR_DEF_60-79_0_0;Iberian (VIIIc-IX);TRASMALL_CN;008;Subdivisión 8c-Este;204;TRASMALLO
GTR_DEF_60-79_0_0;Iberian (VIIIc-IX);TRASMALL_CN;008;Subdivisión 8c-Este;208;MIÑO
