AREA_INF;PUERTO_PRESCRITO;REGEX_COD_PUERTO;PESQUERIA;ESTRATO_RIM;COD_ORIGEN;COD_ARTE;METIER_DCF;CALADERO_DCF
AC;Aguas Comunitarias no españolas;^0922$;RAPANTEROS_AC;RAPANTER_AC;019;102;OTB_DEF_70-99_0_0;Iberian (VIIIc-IX)
AC;Aguas Comunitarias no españolas;^0922$;RAPANTEROS_AC;RAPANTER_AC;030;102;OTB_DEF_70-99_0_0;Iberian (VIIIc-IX)
AC;Aguas Comunitarias no españolas;^0922$;RAPANTEROS_AC;RAPANTER_AC;031;102;OTB_DEF_70-99_0_0;Iberian (VIIIc-IX)
AC;Aguas Comunitarias no españolas;^0922$;RAPANTEROS_AC;RAPANTER_AC;033;102;OTB_DEF_70-99_0_0;Iberian (VIIIc-IX)
AC;Aguas Comunitarias no españolas;^0922$;RAPANTEROS_AC;RAPANTER_AC;034;102;OTB_DEF_70-99_0_0;Iberian (VIIIc-IX)
AC;Aguas Comunitarias no españolas;^0922$;RAPANTEROS_AC;RAPANTER_AC;035;102;OTB_DEF_70-99_0_0;Iberian (VIIIc-IX)
AC;Aguas Comunitarias no españolas;^0922$;RAPANTEROS_AC;RAPANTER_AC;036;102;OTB_DEF_70-99_0_0;Iberian (VIIIc-IX)
CN;Puertos de Galicia, Asturias y Cantabria;^(09|14|04)..$;BACA_CN, JURELERA_CN, PAREJA_CN;BACA_CN;008;102;OTB_DEF_>=55_0_0;Iberian (VIIIc-IX)
CN;Puertos de Galicia, Asturias y Cantabria;^(09|14|04)..$;BACA_CN, JURELERA_CN, PAREJA_CN;BACA_CN;009;102;OTB_DEF_>=55_0_0;Iberian (VIIIc-IX)
CN;Puertos de Galicia, Asturias y Cantabria;^(09|14|04)..$;BACA_CN, JURELERA_CN, PAREJA_CN;BACA_CN;010;102;OTB_DEF_>=55_0_0;Iberian (VIIIc-IX)
CN;Puertos de Galicia, Asturias y Cantabria;^(09|14|04)..$;BACA_CN, JURELERA_CN, PAREJA_CN;JURELERA_CN;008;103;OTB_MPD_>=55_0_0;Iberian (VIIIc-IX)
CN;Puertos de Galicia, Asturias y Cantabria;^(09|14|04)..$;BACA_CN, JURELERA_CN, PAREJA_CN;JURELERA_CN;009;103;OTB_MPD_>=55_0_0;Western Scotland (VI)
CN;Puertos de Galicia, Asturias y Cantabria;^(09|14|04)..$;BACA_CN, JURELERA_CN, PAREJA_CN;JURELERA_CN;010;103;OTB_MPD_>=55_0_0;Western Ireland (VIIbcjk)
CN;Puertos de Galicia, Asturias y Cantabria;^(09|14|04)..$;BACA_CN, JURELERA_CN, PAREJA_CN;PAREJA_CN;008;104;PTB_MPD_>=55_0_0;Western Ireland (VIIbcjk)
CN;Puertos de Galicia, Asturias y Cantabria;^(09|14|04)..$;BACA_CN, JURELERA_CN, PAREJA_CN;PAREJA_CN;009;104;PTB_MPD_>=55_0_0;Celtic Sea (VIIfgh)
CN;Puertos de Galicia, Asturias y Cantabria;^(09|14|04)..$;BACA_CN, JURELERA_CN, PAREJA_CN;PAREJA_CN;010;104;PTB_MPD_>=55_0_0;Celtic Sea (VIIfgh)
CN;Puertos de Galicia, Asturias y Cantabria;^(09|14|04)..$;RASCO_CN, VOLANTA_CN;RASCO_CN;008;203;GNS_DEF_>=100_0_0;Western Ireland (VIIbcjk)
CN;Puertos de Galicia, Asturias y Cantabria;^(09|14|04)..$;RASCO_CN, VOLANTA_CN;RASCO_CN;009;203;GNS_DEF_>=100_0_0;Western Ireland (VIIbcjk)
CN;Puertos de Galicia, Asturias y Cantabria;^(09|14|04)..$;RASCO_CN, VOLANTA_CN;VOLANTA_CN;008;202;GNS_DEF_80-99_0_0;Iberian (VIIIc-IX)
CN;Puertos de Galicia, Asturias y Cantabria;^(09|14|04)..$;RASCO_CN, VOLANTA_CN;VOLANTA_CN;009;202;GNS_DEF_80-99_0_0;Iberian (VIIIc-IX)
CN;Puertos de Galicia, Asturias y Cantabria;^(09|14|04)..$;RASCO_CN, VOLANTA_CN;VOLANTA_CN;010;202;GNS_DEF_80-99_0_0;Iberian (VIIIc-IX)
GC;Puertos de Cádiz;^01..$;BACA_GC;BACA_GC;011;102;OTB_MCD_>=55_0_0;Iberian (VIIIc-IX)
GC;Puertos de Cádiz;^01..$;CERCO_GC;CERCO_GC;011;601;PS_SPF_0_0_0;Iberian (VIIIc-IX)
