AREA_INF;PUERTO_PRESCRITO;PUERTO;COD_PUERTO;PESQUERIA;ESTRATO_RIM;COD_ORIGEN;ARTE;COD_ARTE;METIER_DCF;CALADERO_DCF
GN;A Coruña;A Coruña;0907;BACA_CN / JURELERA_CN;BACA_CN;009;baca;102;OTB_DEF_>=55_0_0;Iberian (VIIIc-IX)
GN;A Coruña;A Coruña;0907;PAREJA_CN;PAREJA_CN;009;pareja;104;PTB_MPD_>=55_0_0;Iberian (VIIIc-IX)
GN;A Coruña;A Coruña;0907;CERCO_CN;CERCO_CN;010;cerco;601;PS_SPF_0_0_0;Iberian (VIIIc-IX)
GN;A Coruña;A Coruña;0907;BETA_CN / TRASMALLO_CN;BETA_CN;008;beta;201;GNS_DEF_60-79_0_0;Iberian (VIIIc-IX)
GN;A Coruña;A Coruña;0907;PALANGRE_CN;PALANGRE_CN;010;palangre de fondo;302;LLS_DEF_0_0_0;Iberian (VIIIc-IX)
GN;A Coruña;A Coruña;0907;VOLANTA_CN;VOLANTA_CN;008;volanta;202;GNS_DEF_80-99_0_0;Iberian (VIIIc-IX)
GN;A Coruña;A Coruña;0907;BACA_CN / JURELERA_CN;JURELERA_CN;009;baca;102;OTB_MPD_>=55_0_0;Iberian (VIIIc-IX)
GN;A Coruña;A Coruña;0907;BACA_CN / JURELERA_CN;JURELERA_CN;008;baca;102;OTB_MPD_>=55_0_0;Iberian (VIIIc-IX)
GN;A Coruña;A Coruña;0907;BACA_CN / JURELERA_CN;BACA_CN;010;baca;102;OTB_DEF_>=55_0_0;Iberian (VIIIc-IX)
GN;A Coruña;A Coruña;0907;CERCO_CN;CERCO_CN;008;cerco;601;PS_SPF_0_0_0;Iberian (VIIIc-IX)
GN;A Coruña;A Coruña;0907;VOLANTA_CN;VOLANTA_CN;010;volanta;202;GNS_DEF_80-99_0_0;Iberian (VIIIc-IX)
GN;A Coruña;A Coruña;0907;NASAPULPO_CN;NASAPULP_CN;010;nasa;502;FPO_MOL_0_0_0;Iberian (VIIIc-IX)
GN;A Coruña;A Coruña;0907;VOLANTA_CN;VOLANTA_CN;009;volanta;202;GNS_DEF_80-99_0_0;Iberian (VIIIc-IX)
GN;A Coruña;A Coruña;0907;BETA_CN / TRASMALLO_CN;TRASMALL_CN;008;trasmallo;204;GTR_DEF_60-79_0_0;Iberian (VIIIc-IX)
GN;A Coruña;A Coruña;0907;BETA_CN / TRASMALLO_CN;BETA_CN;009;beta;201;GNS_DEF_60-79_0_0;Iberian (VIIIc-IX)
GN;A Coruña;A Coruña;0907;BACA_CN / JURELERA_CN;BACA_CN;008;baca;102;OTB_DEF_>=55_0_0;Iberian (VIIIc-IX)
GN;A Coruña;A Coruña;0907;PAREJA_CN;PAREJA_CN;008;pareja;104;PTB_MPD_>=55_0_0;Iberian (VIIIc-IX)
GN;A Coruña;A Coruña;0907;PAREJA_CN;PAREJA_CN;010;pareja;104;PTB_MPD_>=55_0_0;Iberian (VIIIc-IX)
GN;A Coruña;A Coruña;0907;BETA_CN / TRASMALLO_CN;BETA_CN;010;beta;201;GNS_DEF_60-79_0_0;Iberian (VIIIc-IX)
GN;A Coruña;A Coruña;0907;BETA_CN / TRASMALLO_CN;TRASMALL_CN;009;trasmallo;204;GTR_DEF_60-79_0_0;Iberian (VIIIc-IX)
GN;A Coruña;A Coruña;0907;CERCO_CN;CERCO_CN;009;cerco;601;PS_SPF_0_0_0;Iberian (VIIIc-IX)
GN;A Coruña;A Coruña;0907;CERCO_CN;CERCO_CN;038;cerco;601;PS_SPF_0_0_0;Bay of Biscay (VIIIabde)
GN;A Coruña;A Coruña;0907;PALANGRE_CN;PALANGRE_CN;008;palangre de fondo;302;LLS_DEF_0_0_0;Iberian (VIIIc-IX)
GN;A Coruña;A Coruña;0907;BETA_CN / TRASMALLO_CN;TRASMALL_CN;010;trasmallo;204;GTR_DEF_60-79_0_0;Iberian (VIIIc-IX)
GN;A Coruña;A Coruña;0907;PALANGRE_CN;PALANGRE_CN;009;palangre de fondo;302;LLS_DEF_0_0_0;Iberian (VIIIc-IX)
GN;A Coruña;A Coruña;0907;MERLUCEROS_AC;MERLUCER_AC;002;baca;102;OTB_DEF_100-119_0_0;Western Ireland (VIIbcjk)
GN;A Coruña;A Coruña;0907;NASAPULPO_CN;NASAPULP_CN;009;nasa;502;FPO_MOL_0_0_0;Iberian (VIIIc-IX)
GN;A Coruña;A Coruña;0907;BACA_CN / JURELERA_CN;JURELERA_CN;010;baca;102;OTB_MPD_>=55_0_0;Iberian (VIIIc-IX)
GN;A Coruña;A Coruña;0907;NASAPULPO_CN;NASAPULP_CN;008;nasa;502;FPO_MOL_0_0_0;Iberian (VIIIc-IX)
AC;Avilés / Gijón;Avilés;1418;BACA_CN / JURELERA_CN;JURELERA_CN;010;baca;102;OTB_MPD_>=55_0_0;Iberian (VIIIc-IX)
AC;Avilés / Gijón;Avilés;1418;CERCO_CN;CERCO_CN;010;cerco;601;PS_SPF_0_0_0;Iberian (VIIIc-IX)
AC;Avilés / Gijón;Avilés;1418;LINEA_CABALLA;LIN_CABALLA;009;líneas fijas;311;LHM_SPF_0_0_0;Iberian (VIIIc-IX)
AC;Avilés;Avilés;1418;PALANGRE_AC;PALANGRE_AC;001;palangre de fondo;302;LLS_DEF_0_0_0;Western Scotland (VI)
AC;Avilés / Gijón;Avilés;1418;BETA_CN / TRASMALLO_CN;BETA_CN;010;beta;201;GNS_DEF_60-79_0_0;Iberian (VIIIc-IX)
AC;Avilés / Gijón;Avilés;1418;BACA_CN / JURELERA_CN;BACA_CN;009;baca;102;OTB_DEF_>=55_0_0;Iberian (VIIIc-IX)
AC;Avilés / Gijón;Avilés;1418;BACA_CN / JURELERA_CN;JURELERA_CN;009;baca;102;OTB_MPD_>=55_0_0;Iberian (VIIIc-IX)
AC;Avilés / Gijón;Avilés;1418;CERCO_CN;CERCO_CN;038;cerco;601;PS_SPF_0_0_0;Bay of Biscay (VIIIabde)
AC;Avilés / Gijón;Avilés;1418;BACA_CN / JURELERA_CN;BACA_CN;008;baca;102;OTB_DEF_>=55_0_0;Iberian (VIIIc-IX)
AC;Avilés;Avilés;1418;PALANGRE_CN;PALANGRE_CN;009;palangre de fondo;302;LLS_DEF_0_0_0;Iberian (VIIIc-IX)
AC;Avilés / Gijón;Avilés;1418;BACA_CN / JURELERA_CN;BACA_CN;010;baca;102;OTB_DEF_>=55_0_0;Iberian (VIIIc-IX)
AC;Avilés / Gijón;Avilés;1418;CERCO_CN;CERCO_CN;008;cerco;601;PS_SPF_0_0_0;Iberian (VIIIc-IX)
AC;Avilés / Gijón;Avilés;1418;BETA_CN / TRASMALLO_CN;TRASMALL_CN;010;trasmallo;204;GTR_DEF_60-79_0_0;Iberian (VIIIc-IX)
AC;Avilés / Gijón;Avilés;1418;BETA_CN / TRASMALLO_CN;TRASMALL_CN;009;trasmallo;204;GTR_DEF_60-79_0_0;Iberian (VIIIc-IX)
AC;Avilés;Avilés;1418;PALANGRE_AC;PALANGRE_AC;002;palangre de fondo;302;LLS_DEF_0_0_0;Celtic Sea (VIIfgh)/Western Ireland (VIIbcjk)
AC;Avilés;Avilés;1418;PALANGRE_AC;PALANGRE_AC;038;palangre de fondo;302;LLS_DEF_0_0_0;Bay of Biscay (VIIIabde)
AC;Avilés / Gijón;Avilés;1418;BETA_CN / TRASMALLO_CN;BETA_CN;008;beta;201;GNS_DEF_60-79_0_0;Iberian (VIIIc-IX)
AC;Avilés / Gijón;Avilés;1418;PAREJA_CN;PAREJA_CN;009;pareja;104;PTB_MPD_>=55_0_0;Iberian (VIIIc-IX)
AC;Avilés / Gijón;Avilés;1418;PAREJA_CN;PAREJA_CN;008;pareja;104;PTB_MPD_>=55_0_0;Iberian (VIIIc-IX)
AC;Avilés / Gijón;Avilés;1418;PAREJA_CN;PAREJA_CN;010;pareja;104;PTB_MPD_>=55_0_0;Iberian (VIIIc-IX)
AC;Avilés / Gijón;Avilés;1418;BETA_CN / TRASMALLO_CN;BETA_CN;009;beta;201;GNS_DEF_60-79_0_0;Iberian (VIIIc-IX)
AC;Avilés / Gijón;Avilés;1418;CERCO_CN;CERCO_CN;009;cerco;601;PS_SPF_0_0_0;Iberian (VIIIc-IX)
AC;Avilés / Gijón;Avilés;1418;BETA_CN / TRASMALLO_CN;TRASMALL_CN;008;trasmallo;204;GTR_DEF_60-79_0_0;Iberian (VIIIc-IX)
AC;Avilés;Avilés;1418;PALANGRE_CN;PALANGRE_CN;008;palangre de fondo;302;LLS_DEF_0_0_0;Iberian (VIIIc-IX)
AC;Avilés;Avilés;1418;PALANGRE_CN;PALANGRE_CN;010;palangre de fondo;302;LLS_DEF_0_0_0;Iberian (VIIIc-IX)
AC;Avilés / Gijón;Avilés;1418;LINEA_CABALLA;LIN_CABALLA;008;líneas fijas;311;LHM_SPF_0_0_0;Iberian (VIIIc-IX)
AC;Avilés / Gijón;Avilés;1418;BACA_CN / JURELERA_CN;JURELERA_CN;008;baca;102;OTB_MPD_>=55_0_0;Iberian (VIIIc-IX)
GC;Barbate;Barbate;0103;SABLE_GC;SABLE_GC;011;palangre de fondo;302;LLS_DWS_0_0_0;Iberian (VIIIc-IX)
GC;Barbate;Barbate;0103;ENMALLE_GC / TRASMALLO_GC;TRASMALL_GC;011;trasmallo;204;GTR_DEF_50-59_0_0;Iberian (VIIIc-IX)
GC;Barbate;Barbate;0103;ENMALLE_GC / TRASMALLO_GC;ENMALLE_GC;011;enmalle;200;GNS_DEF_40-59_0_0;Iberian (VIIIc-IX)
GN;Burela;Burela;0925;PALANGRE_AC;PALANGRE_AC;001;palangre de fondo;302;LLS_DEF_0_0_0;Western Scotland (VI)
GN;Burela;Burela;0925;PALANGRE_CN;PALANGRE_CN;009;palangre de fondo;302;LLS_DEF_0_0_0;Iberian (VIIIc-IX)
GN;Burela;Burela;0925;BETA_CN / TRASMALLO_CN;BETA_CN;010;beta;201;GNS_DEF_60-79_0_0;Iberian (VIIIc-IX)
GN;Burela;Burela;0925;BACA_CN / JURELERA_CN;BACA_CN;009;baca;102;OTB_DEF_>=55_0_0;Iberian (VIIIc-IX)
GN;Burela;Burela;0925;BETA_CN / TRASMALLO_CN;BETA_CN;009;beta;201;GNS_DEF_60-79_0_0;Iberian (VIIIc-IX)
GN;Burela;Burela;0925;PAREJA_CN;PAREJA_CN;008;pareja;104;PTB_MPD_>=55_0_0;Iberian (VIIIc-IX)
GN;Burela;Burela;0925;PAREJA_CN;PAREJA_CN;009;pareja;104;PTB_MPD_>=55_0_0;Iberian (VIIIc-IX)
GN;Burela;Burela;0925;PALANGRE_AC;PALANGRE_AC;002;palangre de fondo;302;LLS_DEF_0_0_0;Celtic Sea (VIIfgh)/Western Ireland (VIIbcjk)
GN;Burela;Burela;0925;BACA_CN / JURELERA_CN;JURELERA_CN;010;baca;102;OTB_MPD_>=55_0_0;Iberian (VIIIc-IX)
GN;Burela;Burela;0925;BACA_CN / JURELERA_CN;JURELERA_CN;008;baca;102;OTB_MPD_>=55_0_0;Iberian (VIIIc-IX)
GN;Burela;Burela;0925;BETA_CN / TRASMALLO_CN;BETA_CN;008;beta;201;GNS_DEF_60-79_0_0;Iberian (VIIIc-IX)
GN;Burela;Burela;0925;BACA_CN / JURELERA_CN;JURELERA_CN;009;baca;102;OTB_MPD_>=55_0_0;Iberian (VIIIc-IX)
GN;Burela;Burela;0925;PALANGRE_CN;PALANGRE_CN;010;palangre de fondo;302;LLS_DEF_0_0_0;Iberian (VIIIc-IX)
GN;Burela;Burela;0925;BACA_CN / JURELERA_CN;BACA_CN;010;baca;102;OTB_DEF_>=55_0_0;Iberian (VIIIc-IX)
GN;Burela;Burela;0925;BACA_CN / JURELERA_CN;BACA_CN;008;baca;102;OTB_DEF_>=55_0_0;Iberian (VIIIc-IX)
GN;Burela;Burela;0925;BETA_CN / TRASMALLO_CN;TRASMALL_CN;010;trasmallo;204;GTR_DEF_60-79_0_0;Iberian (VIIIc-IX)
