CALADERO;A3_ESP;ESPECIE;t_max;t_min;t_max_corregida;t_min_corregida;t_max_final;t_min_final
CN;OUW;Alloteuthis spp;8;3;;;8;3
GC;OUW;Alloteuthis spp;6;1;;;6;1
GC;ALV;Alopias vulpinus;365;315;;;365;315
CN;TSD;Alosa fallax;60;36;;;60;36
GC;TSD;Alosa fallax;32;25;;;32;25
AC;BSF;Aphanopus carbo;105;93;;;105;93
CN;BSF;Aphanopus carbo;185;80;155;;155;80
AC;ARU;Argentina silus;32;17;;;32;17
CN;ARU;Argentina silus;32;15;;;32;15
AC;ARY;Argentina sphyraena;29;11;;;29;11
CN;ARY;Argentina sphyraena;32;7;;;32;7
CN;ARU;Argentina silus;32;15;;;32;15
GC;ARY;Argentina sphyraena;27;5;;;27;5
CN;MGR;Argyrosomus regius;109;29;;;109;29
GC;MGR;Argyrosomus regius;153;14;;;153;14
CN;ATP;Atherina presbyter;23;8;;;23;8
CN;BLT;Auxis rochei rochei;56;23;;;56;23
GC;BLT;Auxis rochei rochei;55;21;;;55;21
CN;TRG;Balistes capriscus;42;37;;;42;37
GC;TRG;Balistes capriscus;43;33;;;43;33
CN;GAR;Belone belone;101;40;;;101;40
GC;GAR;Belone belone;92;23;;;92;23
AC;BXD;Beryx decadactylus;61;23;;;61;23
AC;BYS;Beryx splendens;46;20;;;46;20
AC;BXD;Beryx decadactylus;61;23;;;61;23
CN;BYS;Beryx splendens;49;21;39;;39;21
CN;BXD;Beryx decadactylus;59;21;;;59;21
CN;BOG;Boops boops;45;14;40;;40;14
GC;BOG;Boops boops;30;14;;;30;14
AC;POA;Brama brama;57;34;;;57;34
CN;POA;Brama brama;53;29;;;53;29
GC;POA;Brama brama;44;31;;;44;31
AC;CRE;Cancer pagurus;19;10.2;;;19;10.2
GC;HMY;Caranx rhonchus;42;18;;;42;18
CN;CBC;Cepola macrophthalma;82;24;;;82;24
GC;CBC;Cepola macrophthalma;79;18;;;79;18
GC;MLR;Chelon labrosus;29;21;;;29;21
GC;CMO;Chimaera monstrosa;20;7;;;20;7
GC;CVW;Chlorophthalmus agassizi;19;7;;;19;7
CN;CIL;Citharus linguatula;28;16;;;28;16
GC;CIL;Citharus linguatula;46;9;;;46;9
AC;COE;Conger conger;240;40;;;240;40
AC;HKE;Merluccius merluccius;123;23;;;123;23
CN;COE;Conger conger;231;30;;;231;30
GC;COE;Conger conger;160;33;;;160;33
CN;COU;Coris julis;33;21;;;33;21
GC;DOL;Coryphaena hippurus;110;34;;;110;34
CN;ZCD;Cyttopsis rosea;30;15;;;30;15
CN;DCA;Deania calcea;83;75;;;83;75
CN;DEC;Dentex dentex;65;30;39;;39;30
GC;DEN;Dentex canariensis;47;16;40;;40;16
GC;DEC;Dentex dentex;32;19;;;32;19
GC;DEP;Dentex gibbosus;48;20;;;48;20
AC;BSS;Dicentrarchus labrax;81;30;;;81;30
CN;BSS;Dicentrarchus labrax;94;25;88;;88;25
GC;BSS;Dicentrarchus labrax;75;20;60;;60;20
GC;SPU;Dicentrarchus punctatus;35;20;;;35;20
CN;CET;Dicologlossa cuneata;35;15;;;35;15
GC;CET;Dicologlossa cuneata;29;7;;;29;7
CN;SWA;Diplodus sargus sargus;45;17;;;45;17
GC;SWA;Diplodus sargus sargus;39;15;;;39;15
CN;SWA;Diplodus sargus sargus;45;17;;;45;17
CN;CTB;Diplodus vulgaris;42;22;;;42;22
CN;SRG;Diplodus spp;42;21;;;42;21
CN;SBZ;Diplodus cervinus cervinus;45;29;;;45;29
CN;SHR;Diplodus puntazzo;44;22;;;44;22
GC;CTB;Diplodus vulgaris;37;10;;;37;10
GC;DHQ;Diplodus bellottii;37;11;20;;20;11
GC;ANN;Diplodus annularis;34;13;27;;27;13
GC;SWA;Diplodus sargus sargus;39;15;;;39;15
GC;SHR;Diplodus puntazzo;38;16;;;38;16
GC;SBZ;Diplodus cervinus cervinus;44;29;;;44;29
CN;RJO;Dipturus oxyrinchus;138;39;;;138;39
AC;EOI;Eledone cirrhosa;21;3;;;21;3
CN;EOI;Eledone cirrhosa;22;4;;;22;4
GC;EOI;Eledone cirrhosa;15;2;;;15;2
GC;EDT;Eledone moschata;19;2;;;19;2
GC;OCM;Eledone spp;9;5;;;9;5
CN;ANE;Engraulis encrasicolus;23;9;;;23;9
GC;ANE;Engraulis encrasicolus;20;6;;;20;6
CN;EPI;Epigonus telescopus;74;42;65;;65;42
AC;GPD;Epinephelus marginatus;85;49;;;85;49
AC;HKE;Merluccius merluccius;123;23;;;123;23
CN;GPD;Epinephelus marginatus;70;55;;;70;55
CN;ETX;Etmopterus spinax;53;21;;;53;21
AC;COD;Gadus morhua;118;35;;;118;35
